longitude,latitude,StateCode,LGA,LGA NAME,year,Median Age Ð Males (years),Median Age Ð Females (years),Median Age Ð Persons (years),Births,Total fertility rate (per female),Deaths,Population density (persons/km2),Arrivals,Departures,Postgraduate degree (%),Train or tram To Work,Bus To Work,Car (as driver; passenger) To Work,Motor bike/scooter To Work,Bicycle To Work,Other (inc. taxis) To Work,Couple families with children under 15 and/or dependent students,Couple families with non-dependent children only,Couple families without children,One parent families; children under 15 and/or dependent students,One parent families; non-dependent children only,Broadband connection (%)
146.8668515,-31.53810994,1,10950,Bogan (A),2011,38.3,39.4,38.8,59,3.4,19,0.2,205,268,0.5,,65,679,11,7,46,269,49,276,80,48,51.3
146.8668515,-31.53810994,1,10950,Bogan (A),2012,39.3,39.7,39.5,65,3.6,31,0.2,247,251,,,,,,,,,,,,,
146.8668515,-31.53810994,1,10950,Bogan (A),2013,39.1,39.8,39.4,42,3.3,30,0.2,170,219,,,,,,,,,,,,,
146.8668515,-31.53810994,1,10950,Bogan (A),2014,39.7,40.2,40,41,3,22,0.2,191,200,,,,,,,,,,,,,
149.0403766,-36.88354831,1,11000,Bombala (A),2010,45.3,44.8,45,23,2.2,26,0.6,143,187,,,,,,,,,,,,,
149.0403766,-36.88354831,1,11000,Bombala (A),2011,45.2,46.1,45.8,30,2.3,25,0.6,123,180,0.9,3,4,686,9,8,63,206,36,322,56,35,54.1
149.0403766,-36.88354831,1,11000,Bombala (A),2012,46.6,47.4,47,32,2.8,29,0.6,141,211,,,,,,,,,,,,,
149.0403766,-36.88354831,1,11000,Bombala (A),2013,46.6,47.9,47.5,29,3.2,27,0.6,139,149,,,,,,,,,,,,,
149.0403766,-36.88354831,1,11000,Bombala (A),2014,46.6,47.6,46.9,23,3,42,0.6,145,144,,,,,,,,,,,,,
148.8513076,-34.29364779,1,11050,Boorowa (A),2010,44.8,45.1,44.9,26,2.5,20,1,165,136,,,,,,,,,,,,,
148.8513076,-34.29364779,1,11050,Boorowa (A),2011,45.6,44.5,45.3,37,2.9,22,1,212,175,0.8,,3,558,11,6,62,208,37,293,59,32,56.3
148.8513076,-34.29364779,1,11050,Boorowa (A),2012,45.4,44.8,45.2,24,2.5,22,1,237,157,,,,,,,,,,,,,
148.8513076,-34.29364779,1,11050,Boorowa (A),2013,45.3,44.5,45,29,2.6,31,1,180,180,,,,,,,,,,,,,
148.8513076,-34.29364779,1,11050,Boorowa (A),2014,45.7,45.2,45.5,24,2.2,22,1,159,138,,,,,,,,,,,,,
151.2015953,-33.9423156,1,11100,Botany Bay (C),2010,36.1,37.5,36.8,638,1.9,242,1886.4,3689,3518,,,,,,,,,,,,,
151.2015953,-33.9423156,1,11100,Botany Bay (C),2011,36.2,37.5,36.9,592,1.9,323,1913.8,3516,3524,5.1,698,2472,10452,172,254,306,3957,1045,3250,1053,777,65
151.2015953,-33.9423156,1,11100,Botany Bay (C),2012,36.1,37.5,36.8,586,1.8,261,1950.2,3543,3638,,,,,,,,,,,,,
151.2015953,-33.9423156,1,11100,Botany Bay (C),2013,35.8,37.3,36.5,692,1.8,278,1996,3711,3578,,,,,,,,,,,,,
151.2015953,-33.9423156,1,11100,Botany Bay (C),2014,35.5,37,36.3,608,1.8,266,2063.1,4087,3680,,,,,,,,,,,,,
145.3567058,-29.91060845,1,11150,Bourke (A),2010,34,33.6,33.8,69,3.2,16,0.1,244,331,,,,,,,,,,,,,
145.3567058,-29.91060845,1,11150,Bourke (A),2011,35.4,34.5,34.8,77,3.2,31,0.1,265,294,1.2,,5,685,8,15,35,226,34,242,93,29,41.6
145.3567058,-29.91060845,1,11150,Bourke (A),2012,35.9,34.9,35.1,59,3.1,30,0.1,196,260,,,,,,,,,,,,,
145.3567058,-29.91060845,1,11150,Bourke (A),2013,35.6,35.4,35.5,93,3.6,28,0.1,205,253,,,,,,,,,,,,,
145.3567058,-29.91060845,1,11150,Bourke (A),2014,36.1,36.2,36.2,62,3.6,24,0.1,205,312,,,,,,,,,,,,,
146.9608402,-29.79157408,1,11200,Brewarrina (A),2010,33.3,30.9,32.1,31,3.3,19,0.1,136,228,,,,,,,,,,,,,
146.9608402,-29.79157408,1,11200,Brewarrina (A),2011,33.7,30.5,32,32,3.2,12,0.1,167,221,0.8,,9,298,,4,19,129,25,120,89,30,40.7
146.9608402,-29.79157408,1,11200,Brewarrina (A),2012,33.9,31.2,32.6,28,2.7,15,0.1,146,200,,,,,,,,,,,,,
146.9608402,-29.79157408,1,11200,Brewarrina (A),2013,31.2,30.3,30.6,33,2.7,16,0.1,204,174,,,,,,,,,,,,,
146.9608402,-29.79157408,1,11200,Brewarrina (A),2014,32.3,30.5,31.3,41,3,18,0.1,136,205,,,,,,,,,,,,,
141.4791685,-31.94418429,1,11250,Broken Hill (C),2010,41.2,44,42.7,241,2.4,186,113.1,789,1080,,,,,,,,,,,,,
141.4791685,-31.94418429,1,11250,Broken Hill (C),2011,41.7,44.4,43.1,214,2.2,221,112.5,983,1024,0.8,,38,5151,58,61,152,1270,372,2102,736,305,51
141.4791685,-31.94418429,1,11250,Broken Hill (C),2012,41.7,44.7,43.3,229,2.1,219,112.3,912,959,,,,,,,,,,,,,
141.4791685,-31.94418429,1,11250,Broken Hill (C),2013,42,45.2,43.6,239,2.1,208,111.8,824,983,,,,,,,,,,,,,
141.4791685,-31.94418429,1,11250,Broken Hill (C),2014,42.2,45.3,43.7,183,2,217,111.9,778,862,,,,,,,,,,,,,
151.1031477,-33.88368684,1,11300,Burwood (A),2010,33.4,36.6,34.9,401,1.6,236,4746.6,2944,3875,,,,,,,,,,,,,
151.1031477,-33.88368684,1,11300,Burwood (A),2011,33,36.5,34.7,382,1.5,266,4794.5,3042,3522,8.4,3776,489,6666,65,80,211,3037,839,2650,717,535,71
151.1031477,-33.88368684,1,11300,Burwood (A),2012,32.9,35.9,34.2,434,1.5,223,4869,2901,3529,,,,,,,,,,,,,
151.1031477,-33.88368684,1,11300,Burwood (A),2013,32.7,35.5,34,433,1.5,248,4951,2949,3510,,,,,,,,,,,,,
151.1031477,-33.88368684,1,11300,Burwood (A),2014,32.7,35.2,33.9,414,1.5,262,5057.8,3019,3648,,,,,,,,,,,,,
153.4824616,-28.60418294,1,11350,Byron (A),2010,41.2,42.6,41.9,357,1.9,192,54.2,2408,2572,,,,,,,,,,,,,
153.4824616,-28.60418294,1,11350,Byron (A),2011,41.8,43,42.4,322,1.9,206,54.3,2339,2498,3.3,13,82,7836,86,366,302,2406,448,2797,1261,425,66.3
153.4824616,-28.60418294,1,11350,Byron (A),2012,42.2,43.3,42.8,352,1.9,216,54.8,2518,2417,,,,,,,,,,,,,
153.4824616,-28.60418294,1,11350,Byron (A),2013,42.5,43.5,43,342,1.9,205,55.9,2634,2322,,,,,,,,,,,,,
153.4824616,-28.60418294,1,11350,Byron (A),2014,42.8,43.8,43.3,315,1.9,223,56.8,2522,2316,,,,,,,,,,,,,
148.7541275,-33.15298093,1,11400,Cabonne (A),2010,41.5,41.5,41.5,170,2.6,80,2.2,925,995,,,,,,,,,,,,,
148.7541275,-33.15298093,1,11400,Cabonne (A),2011,41.7,41.9,41.8,146,2.5,115,2.2,960,1019,1.8,,27,4058,46,11,177,1288,258,1575,287,133,61.4
148.7541275,-33.15298093,1,11400,Cabonne (A),2012,41.4,41.9,41.7,152,2.5,119,2.2,1115,951,,,,,,,,,,,,,
